unit_id,product_id,title,brand,size,status,base_rental_fee,security_deposit
UNT-1001,PRD-102,Sequined Off-Shoulder Dress,Zimmermann,XS,rented,166.94,333.88
UNT-1002,PRD-102,Sequined Off-Shoulder Dress,Zimmermann,44L,available,186.41,279.62
UNT-1003,PRD-102,Sequined Off-Shoulder Dress,Zimmermann,L,available,206.22,412.44
UNT-1004,PRD-109,Velvet Dinner Jacket,Alexander McQueen,40R,available,252.5,378.75
UNT-1005,PRD-103,Peak Lapel Wool Tuxedo,Tom Ford,40R,available,227.99,569.98
UNT-1006,PRD-102,Sequined Off-Shoulder Dress,Zimmermann,S,available,179.49,448.73
UNT-1007,PRD-110,Pinstripe Tailored Suit,Dior,XL,dry_cleaning,306.76,460.14
UNT-1008,PRD-107,Floral Print Chiffon Midi Dress,Oscar de la Renta,S,rented,221.23,553.07
UNT-1009,PRD-110,Pinstripe Tailored Suit,Dior,L,rented,197.33,394.66
UNT-1010,PRD-105,Cashmere Belted Trench Coat,Burberry,S,dry_cleaning,262.64,787.92
UNT-1011,PRD-105,Cashmere Belted Trench Coat,Burberry,42R,rented,197.43,493.58
UNT-1012,PRD-106,Embellished Clutch Bag,Prada,L,rented,136.15,204.23
UNT-1013,PRD-110,Pinstripe Tailored Suit,Dior,M,rented,229.17,687.51
UNT-1014,PRD-107,Floral Print Chiffon Midi Dress,Oscar de la Renta,XL,maintenance,200.4,400.8
UNT-1015,PRD-106,Embellished Clutch Bag,Prada,XS,available,82.57,206.42
UNT-1016,PRD-107,Floral Print Chiffon Midi Dress,Oscar de la Renta,XL,available,230.44,576.1
UNT-1017,PRD-104,Double-Breasted Italian Blazer,Giorgio Armani,42R,available,211.45,634.35
UNT-1018,PRD-103,Peak Lapel Wool Tuxedo,Tom Ford,XL,available,334.1,835.25
UNT-1019,PRD-110,Pinstripe Tailored Suit,Dior,40R,dry_cleaning,253.9,507.8
UNT-1020,PRD-103,Peak Lapel Wool Tuxedo,Tom Ford,44L,rented,336.04,504.06
UNT-1021,PRD-103,Peak Lapel Wool Tuxedo,Tom Ford,M,rented,275.99,413.99
UNT-1022,PRD-107,Floral Print Chiffon Midi Dress,Oscar de la Renta,40R,rented,181.49,453.73
UNT-1023,PRD-109,Velvet Dinner Jacket,Alexander McQueen,XS,rented,186.04,465.1
UNT-1024,PRD-106,Embellished Clutch Bag,Prada,S,available,92.65,138.98
UNT-1025,PRD-105,Cashmere Belted Trench Coat,Burberry,44L,rented,216.0,324.0
UNT-1026,PRD-105,Cashmere Belted Trench Coat,Burberry,44L,rented,169.87,339.74
UNT-1027,PRD-109,Velvet Dinner Jacket,Alexander McQueen,44L,dry_cleaning,253.85,761.55
